Latitude,Longitude,Name,Address,Operating_Hours,Waze
3.128099,101.678678,Subway Menara UOA Bangsar,"Jalan Bangsar Utama 1, Unit 1-2-G, Menara UOA Bangsar, Kuala Lumpur, 59000","Monday - Sunday, 8:00 AM - 8:00 PM",https://www.waze.com/en/live-map/directions/my/federal-territory-of-kuala-lumpur/kuala-lumpur/subway-@-menara-uoa-bangsar?place=ChIJPWFRH5RJzDERvHvlO1uTQpY
3.151251,101.615116,Subway One Utama,"318A One Utama, Lower Ground Floor, New Wing, 1 Utama Shopping Centre, Petaling Jaya, 47800",0800 - 2200 (Sun - Thur),https://www.waze.com/en/live-map/directions/my/selangor/pj/1-utama-shopping-centre?place=ChIJL-Qvn9JOzDERBLmeTTrrgf0
3.152705,101.712034,Subway Jln Pinang,"G9, Wisma UOA II, 19, Jalan Pinang, Kuala Lumpur, 50450","Monday - Saturday, 8:00 AM – 9:00PM",https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-jalan-pinang-kl?place=ChIJIzvym9Q3zDER9MZj809Opn0
3.151729,101.666006,Subway UOA Damansara,"Unit 50-G-5, Ground Floor, Wisma UOA Damansara, No. 50, Jalan Dungun, Kuala Lumpur, 50490","Monday - Saturday, 8:00 AM – 8:30PM",https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-wisma-uoa-damansara?place=ChIJa5Vpq1RIzDER8-Wwe3eFNUI
3.027692,101.718905,Subway The Mines,"Lot L1-93, Level 1, Mines Shopping Fair,Jln Dulang, Mines Resort City, Seri Kembangan, 43300","Monday - Sunday, 10:00 AM - 10:00 PM","https://www.waze.com/en/live-map/directions/subway-the-mines-shopping-mall-jalan-dulang,-l1-93-seri-kembangan?place=w.66650142.666632495.27412970"
3.165686,101.651956,Subway Mont Kiara,"E-01-16 ,Block E, Plaza Mont Kiara, 2 Jalan Kiara, Mont Kiara, Kuala Lumpur, 50480","Monday - Sunday, 10:00 AM - 10:00 PM",https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-plaza-montkiara?place=ChIJ62Fw6vFIzDEReI7qDH2RtxQ
3.104774,101.647341,Subway Amcorp Mall,"(Canopy Area), Lot KG-05, 18 Jln Persiaran, Ground Floor, Barat, Petaling Jaya, 46050","Monday - Friday, 9:00 AM – 10:00PM",https://www.waze.com/en/live-map/directions/my/selangor/pj/subway-@-amcorp-mall-pj?place=ChIJgcEy_dpLzDERqz_XQPpVA2U
3.159477,101.713515,Subway Avenue K,"Lot UC-8 & 9, Upper Concourse Level, Avenue K, No. 156, Jalan Ampang, Kuala Lumpur, 50450","Monday - Sunday, 8:00 AM - 10:00 PM","https://www.waze.com/en/live-map/directions/subway-avenue-k-lot-uc-8-and-9,-upper-concourse-level,-avenue-k-kuala-lumpur?place=w.66650144.666566972.27413004"
3.136096,101.607964,Subway Center Point,"Lebuh Bandar Utama, Center Point, Lot G104B Gr Floor, Petaling Jaya, 47800","Monday, 8:00 AM – 10:00PM","https://www.waze.com/en/live-map/directions/subway-lebuh-bandar-utama-lebuh-bandar-utama,-center-point,-lot-g104b-petaling-jaya?place=w.66584607.665911610.27441776"
3.079525,101.609623,Subway Shell Sunway Mentari,"1, Jalan PJS 8/9 (Shell) Bandar Sunway, 46000 Selangor",Monday - Sunday (08:00AM - 10:00PM),"https://waze.com/ul?ll=3.079525,101.609623"
3.142198,101.710551,Subway Berjaya Times Square,"LG-08A, Berjaya Times Square, No. 1, Jalan Imbi, Kuala Lumpur, 55100","Monday - Sunday, 10:00 AM - 10:00 PM","https://www.waze.com/en/live-map/directions/subway-berjaya-times-square-lot-03-103,-3rd-floor,-berjaya-times-square-kuala-lumpur?place=w.66650143.666566970.27413449"
3.154416,101.698823,Subway Capsquare,"Ground Floor, Unit 01-02, Cap Square Tower, 10 Jalan Munshi Abdullah, Kuala Lumpur, 50100","Monday - Saturday, 8:00 AM – 9:00PM",https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-capsquare?place=ChIJy-MVCLdJzDER31pWsrn_WZE
3.177185,101.750558,Subway Aeon AU2,"Aeon AU2 Shopping Center, 6, Jln 37/36 Taman Setiawangsa, Lot G49, Taman Keramat, Kuala Lumpur, 54200","Monday - Sunday, 10:00 AM - 10:00 PM",https://www.waze.com/en/live-map/directions/subway-aeon-au2-aeon-au2-shopping-center-kuala-lumpur?place=w.66715680.666829118.27413005
3.082580,101.588016,Subway Aeon Big Subang,"F1-23 AEON BIG, Level 1 No.3 Jalan SS 16/1,Subang Jaya, Selangor 47500","Monday - Sunday, 9:00 AM - 10:00 PM","https://www.waze.com/en/live-map/directions/subway-aeon-big-f1-23-aeon-big,-level-1-no.3-subang-jaya?place=w.66584607.665780532.27413993"
3.121723,101.653684,Subway University Malaya,"Faculty of Dentistry, Level 1, Block B, University of Malaya, Kuala Lumpur, 50603","Monday - Friday, 6:30 AM – 10:00PM",https://www.waze.com/en/live-map/directions/subway-university-of-malaya-university-of-malaya-faculty-of-dentistry-petaling-jaya?place=w.66650143.666173751.27402188
2.994114,101.758669,Subway Jade Hills,"No 40-G, Jalan Jade Hills Utama 1/2, Commerce Village, Jade Hills, 43000 Kajang, Selangor.",Operating hours not available,https://www.waze.com/en/live-map/directions/my/selangor/kajang/subway-jade-hill?place=ChIJuRzJknvLzTERiX5pZXHT0gw
3.198582,101.742206,Subway Wangsa Walk,"Wangsa Ave, Bandar Wangsa Maju, #9 Jalan Perdana 1, G-52, Wangsa Walk Mall, Kuala Lumpur, 53300","Monday - Sunday, 9:30 AM - 9:30 PM","https://www.waze.com/en/live-map/directions/subway-wangsa-walk-mall-g-52,-wangsa-walk-mall-kuala-lumpur?place=w.66650144.666763584.27401138"
3.141958,101.625217,Subway TTDI,"Lvl1, Petronas Svs Station TTDI,Lot29395 & 29396, Pinggir Zaaba, Taman Tun Dr Ismail, Kuala Lumpur, 60000","Monday - Sunday, 8:30 AM - 9:00 PM",https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-pinggir-zaaba-taman-tun?place=ChIJuRYqITBJzDER76oB2espXlU
3.084338,101.523317,Subway Plaza Shah Alam,"Lot No. G 17, Ground Floor, Plaza Shah Alam, Sekysen 9, Shah Alam, 40100","Monday - Sunday, 9:30 AM – 09:30PM","https://www.waze.com/en/live-map/directions/subway-@plaza-shah-alam-lot-g17,-plaza-shah-alam?place=w.66519071.665321780.27398400"
3.047932,101.586015,Subway Taipan,"7A, Jalan USJ 10/1j, Taipan Business Centre, 47620 Subang Jaya, Selangor","Monday - Sunday, 8:00 AM - 8:00 PM",https://www.waze.com/en/live-map/directions/subway-taipan-jalan-usj-101j-7-subang-jaya?place=w.66584606.665780529.2845552
3.155606,101.695688,Subway Menara Aras Jaya,"LG Floor, Menara Bumiputra Commerce, No 11, Jalan Raja Laut, 50350 Kuala Lumpur","Monday - Friday, 8:00 AM – 9:00PM","https://www.waze.com/en/live-map/directions/subway-cimb-cimb-11-jalan-raja-laut,-lower-ground-floor-kuala-lumpur?place=w.66650144.666501436.27395039"
3.160388,101.756010,Subway Petronas Ampang Point,"Petronas Gas Station/C-Store, Lot 36904 TT27423, Jalan Air Kolam Lama, Ampang, 68000","Monday - Sunday, 8:30 AM - 9:00 PM","https://waze.com/ul?ll=3.160388,101.756010"
3.194423,101.633699,Subway Tesco Kepong,"Tesco Kepong Village Mall, Lot No. 14, 1st Floor, No. 3 Jalan 7A/62A Bandar Manjalara, Kuala Lumpur, 52200","Monday - Sunday, 10:15 AM - 9:30 PM","https://www.waze.com/en/live-map/directions/subway-lotuss-kepong-village-lot-no.-14,-1st-floor,-lotuss-kepong-village-mall-kuala-lumpur?place=w.66584608.666042687.27399057"
3.178158,101.685121,Subway Jalan Ipoh,"No. 447, Jalan Ipoh, Batu 3, Taman Million, 51200 Kuala Lumpur","Monday - Sunday, 8:00 AM - 10:00 PM","https://www.waze.com/en/live-map/directions/subway-rivercity-village-468-1(1),-ground-floor,-block-f-rivercity-village-kuala-lumpur?place=w.66650144.666370366.16193787"
3.237131,101.643784,Subway Selayang Mall,"Selayang Mall, GSW .5A, Ground Floor, Batu Caves, 68100","Monday - Sunday, 9:00 AM - 10:00 PM","https://www.waze.com/en/live-map/directions/subway-selayang-mall-5a,-ground-floor,-selayang-mall-batu-caves?place=w.66584608.666108228.27398140"
2.991741,101.615601,Subway AEON BIG Puchong,"AEON BIG Shopping Center, Lot No G04 Ground Floor, Lot 4029 Persiaran Selangor, Puchong Utama, 47100","Monday - Sunday, 10:00 AM - 10:00 PM",https://ul.waze.com/ul?preview_venue_id=66584606.665911595.26934483&navigate=yes&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location
3.089032,101.546357,Subway Seksyen 13,"Tadisma Business Park, Seksyen 13, 40100 Shah Alam, Selangor",Monday - Sunday (9:30AM - 10:30PM),"https://waze.com/ul?ll=3.089032,101.546357"
3.136505,101.747491,Subway Axis Atrium,"Axis Atrium, Lot No. G-3 Ground Floor, Jalan Cempaka, Taman Cempaka Ampang, 68000","Monday - Sunday, 8:00 AM - 9:00 PM","https://www.waze.com/en/live-map/directions/subway-axis-atrium-axis-atrium,-lot-no.-g-3-ground-floor-kuala-lumpur?place=w.66650143.666829114.27401140"
3.008788,101.804503,Subway Taman Prima Saujana,"G-2A-GB, Jalan Prima Saujana 2/D, Taman Prima Saujana, 43000 Kajang, Selangor","Monday - Sunday, 8:00 AM - 10:00 PM",https://www.waze.com/en/live-map/directions/my/selangor/kajang/subway-prima-saujana?place=ChIJ5T1_lhrNzTERznG7echZSEc
3.147444,101.575434,Subway Cova Square,"G16, Cova Square Jalan Teknologi Pju5 Kota Damansara 47810 Petaling Jaya Selangor","Monday - Sunday, 8:00 AM - 9:00 PM",https://www.waze.com/en/live-map/directions/subway-cova-square-jalan-teknologi-16-petaling-jaya?place=w.66584607.665649467.17215766
